z_cm,E_sp_kV_cm,E_I_rod_kV_cm,E_total_space_kV_cm
0.0000,-16.190437,-65.735253,-81.925690
0.0354,-12.286953,-29.058997,-41.345950
0.0707,-8.354660,-17.106125,-25.460785
0.1061,-6.181254,-11.314468,-17.495722
0.1414,-4.814989,-8.047492,-12.862481
0.1768,-3.874998,-6.019756,-9.894754
0.2121,-3.185962,-4.673597,-7.859560
0.2475,-2.656799,-3.734027,-6.390825
0.2828,-2.235679,-3.052112,-5.287791
0.3182,-1.890983,-2.541470,-4.432454
0.3535,-1.602340,-2.149144,-3.751484
0.3889,-1.356031,-1.841186,-3.197218
0.4242,-1.142484,-1.595016,-2.737500
0.4596,-0.954807,-1.395134,-2.349941
0.4949,-0.787919,-1.230618,-2.018537
0.5303,-0.637973,-1.093587,-1.731560
0.5657,-0.502030,-0.978241,-1.480271
0.6010,-0.377778,-0.880232,-1.258010
0.6364,-0.263385,-0.796252,-1.059637
0.6717,-0.157379,-0.723744,-0.881124
0.7071,-0.058562,-0.660710,-0.719272
0.7424,0.034052,-0.605568,-0.571516
0.7778,0.121281,-0.557053,-0.435772
0.8131,0.203811,-0.514145,-0.310333
0.8485,0.282219,-0.476010,-0.193791
0.8838,0.356998,-0.441967,-0.084969
0.9192,0.428566,-0.411450,0.017116
0.9545,0.497287,-0.383988,0.113299
0.9899,0.563473,-0.359187,0.204286
1.0253,0.627397,-0.336714,0.290683
1.0606,0.689295,-0.316286,0.373010
1.0960,0.749377,-0.297662,0.451715
1.1313,0.807826,-0.280636,0.527190
1.1667,0.864803,-0.265031,0.599772
1.2020,0.920451,-0.250692,0.669759
1.2374,0.974896,-0.237486,0.737410
1.2727,1.028251,-0.225297,0.802954
1.3081,1.080615,-0.214022,0.866592
1.3434,1.132076,-0.203574,0.928502
1.3788,1.182713,-0.193872,0.988841
1.4141,1.232596,-0.184848,1.047748
1.4495,1.281786,-0.176439,1.105347
1.4848,1.330337,-0.168592,1.161745
1.5202,1.378296,-0.161257,1.217039
1.5556,1.425706,-0.154390,1.271316
1.5909,1.472602,-0.147953,1.324649
1.6263,1.519015,-0.141910,1.377106
1.6616,1.564972,-0.136230,1.428743
1.6970,1.610495,-0.130884,1.479611
1.7323,1.655602,-0.125847,1.529755
1.7677,1.700306,-0.121095,1.579212
1.8030,1.744620,-0.116607,1.628013
1.8384,1.788551,-0.112364,1.676187
1.8737,1.832104,-0.108349,1.723755
1.9091,1.875280,-0.104545,1.770735
1.9444,1.918081,-0.100938,1.817143
1.9798,1.960504,-0.097515,1.862989
2.0152,2.002543,-0.094262,1.908281
2.0505,2.044195,-0.091170,1.953024
2.0859,2.085450,-0.088228,1.997222
2.1212,2.126299,-0.085425,2.040873
2.1566,2.166733,-0.082755,2.083978
2.1919,2.206740,-0.080207,2.126533
2.2273,2.246308,-0.077775,2.168532
2.2626,2.285424,-0.075453,2.209972
2.2980,2.324077,-0.073232,2.250844
2.3333,2.362251,-0.071109,2.291142
2.3687,2.399934,-0.069076,2.330858
2.4040,2.437113,-0.067129,2.369984
2.4394,2.473775,-0.065264,2.408511
2.4747,2.509905,-0.063475,2.446430
2.5101,2.545493,-0.061759,2.483735
2.5455,2.580527,-0.060111,2.520416
2.5808,2.614994,-0.058529,2.556466
2.6162,2.648886,-0.057008,2.591879
2.6515,2.682192,-0.055545,2.626646
2.6869,2.714902,-0.054139,2.660763
2.7222,2.657736,-0.052785,2.604951
2.7576,2.552339,-0.051481,2.500858
2.7929,2.452338,-0.050225,2.402113
2.8283,2.357412,-0.049014,2.308398
2.8636,2.267263,-0.047847,2.219417
2.8990,2.181614,-0.046720,2.134893
2.9343,2.100201,-0.045634,2.054568
2.9697,2.022782,-0.044584,1.978198
3.0051,1.949126,-0.043570,1.905556
3.0404,1.879020,-0.042591,1.836429
3.0758,1.812262,-0.041644,1.770618
3.1111,1.748664,-0.040729,1.707936
3.1465,1.688049,-0.039843,1.648206
3.1818,1.630252,-0.038986,1.591266
3.2172,1.575116,-0.038156,1.536960
3.2525,1.522496,-0.037352,1.485143
3.2879,1.472254,-0.036574,1.435680
3.3232,1.424262,-0.035820,1.388442
3.3586,1.378399,-0.035088,1.343311
3.3939,1.334551,-0.034379,1.300172
3.4293,1.292612,-0.033692,1.258920
3.4646,1.252480,-0.033024,1.219456
3.5000,1.214062,-0.032377,1.181685
